RC,HID,STOP_DATE,STEEL_GRADE,TAPPED_WGT,TOTAL_CHARGE,DRI_CHARGE,SCRAP_CHARGE,POWER_ON_TIME,FINAL_TEMP,TOTAL_C_DRI,LOCAL_SCRAP,HOME_RETURN_SCRAP,IMPORTED_SCRAP,PIG_IRON,DRI_BRIQUETTED,FESI,FEMN,SIMN,FECR,NICKEL,FETI,FEB,FENB,FEP,FEMO,CU,FEV,NITROVAN,ELEC_ENERGY,OXYGEN,COKE_LUMP,MODULE_CARBON,COKE_POWDER,BURNT_LIME,BURNT_DOLAMITE,FLUX,C_ANALYSIS, 
268981,533520,05-JAN-2023 19.43.39,2015,160.8,179.99,140,39.99,41.4,1681,,24.44,15.55,,,,0,822,0,0,0,0,0,0,0,0,0,0,0,85500,5663,0,3190,0,0,7000,0,, 
268984,533521,05-JAN-2023 20.34.50,2015,161.5,179.99,137,42.99,40.3,1619,,26.27,16.72,,,,0,822,0,0,0,0,0,0,0,0,0,0,0,83000,5539,0,3317,0,0,7000,0,, 
268987,533522,05-JAN-2023 21.24.50,2015,162.2,175,131,44,39.4,1623,,26.89,17.11,,,,0,821,0,0,0,0,0,0,0,0,0,0,0,81200,5499,0,3241,0,0,7000,0,, 
268990,533523,05-JAN-2023 22.15.22,2032,161.8,179.99,138,41.99,40,1669,,25.66,16.33,,,,0,900,0,0,0,0,0,0,0,0,0,0,0,83200,5634,0,2986,0,0,7000,0,, 
268993,533524,05-JAN-2023 23.06.11,2032,161.4,185.1,141.1,44,40,1708,,26.89,17.11,,,,0,900,0,0,0,0,0,0,0,0,0,0,0,85200,5961,0,2735,0,0,7000,0,, 
268996,533525,06-JAN-2023 00.14.12,1032,158.6,193.59,150.6,42.99,43.6,1634,,26.27,16.72,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,88500,6517,0,2634,0,0,7000,0,, 
269000,533526,06-JAN-2023 01.03.56,2032,159.6,185.89,146.6,39.29,38.9,1659,,24.01,15.28,,,,0,999,0,0,0,0,0,0,0,0,0,0,0,83500,5896,0,2480,0,0,7000,0,, 
269002,533527,06-JAN-2023 01.56.35,2030,159.9,184.29,147.3,36.99,40.4,1629,,22.6,14.39,,,,0,999,0,0,0,0,0,0,0,0,0,0,0,85900,5907,0,2660,0,0,7000,0,, 
269005,533528,06-JAN-2023 02.57.31,2030,158.9,190.19,148.9,41.29,39.5,1661,,25.23,16.06,,,,0,999,0,0,0,0,0,0,0,0,0,0,0,84000,5918,0,2207,0,0,7000,0,, 
269008,533529,06-JAN-2023 03.54.02,2030,159.5,190.39,150.4,39.99,40.7,1646,,24.44,15.55,,,,0,999,0,0,0,0,0,0,0,0,0,0,0,85700,5957,0,2522,0,0,6700,0,, 
269011,533530,06-JAN-2023 04.43.42,2030,159.5,183.89,146.4,37.49,38.7,1655,,22.91,14.58,,,,0,999,0,0,0,0,0,0,0,0,0,0,0,82800,5590,0,2369,0,0,7000,0,, 
269014,533531,06-JAN-2023 05.36.12,2030,155.9,185.99,148,37.99,40.7,1638,,23.22,14.77,,,,0,998,0,0,0,0,0,0,0,0,0,0,0,84800,5691,0,2220,0,0,6700,0,, 
269016,533532,06-JAN-2023 06.32.36,2030,158.3,193.19,153.2,39.99,42.9,1638,,24.44,15.55,,,,0,999,0,0,0,0,0,0,0,0,0,0,0,88900,5862,0,3003,0,0,7000,0,, 
269020,533533,06-JAN-2023 07.26.42,2030,160.3,187.5,151.5,36,41.7,1666,,22,14,,,,0,999,0,0,0,0,0,0,0,0,0,0,0,89100,5964,0,3528,0,554,7000,0,, 
269023,533534,06-JAN-2023 08.21.12,1067,162.6,194.3,158.3,36,42.3,1692,,22,14,,,,0,1000,0,0,0,0,0,0,0,0,0,0,0,91100,6277,0,2502,0,0,7000,0,, 
269026,533535,06-JAN-2023 09.10.52,5095,163,185.1,144.1,41,37.5,1638,,25.06,15.94,,,,0,999,0,0,0,0,0,0,0,0,0,0,0,81100,5588,0,1948,0,199,7000,0,, 
269029,533536,06-JAN-2023 10.01.45,5071,161,184.89,144.9,39.99,38.3,1623,,24.44,15.55,,,,0,1000,0,0,0,0,0,0,0,0,0,0,0,83200,5550,0,1646,0,0,8000,0,, 
269032,533537,06-JAN-2023 10.52.01,5071,162.2,186.19,143.2,42.99,39.3,1604,,26.27,16.72,,,,0,999,0,0,0,0,0,0,0,0,0,0,0,85000,5917,0,2957,0,0,8000,0,, 
269035,533538,06-JAN-2023 11.54.56,5071,162.7,194.09,154.1,39.99,40,1621,,24.44,15.55,,,,0,1000,0,0,0,0,0,0,0,0,0,0,0,86000,6291,0,3213,0,0,7000,0,, 
269038,533539,06-JAN-2023 12.48.26,5071,161.6,183.2,142.2,41,39.3,1670,,25.06,15.94,,,,0,1000,0,0,0,0,0,0,0,0,0,0,0,85000,6426,270,3394,0,0,7000,0,, 
269041,533540,06-JAN-2023 13.36.16,5071,163,184.99,145,39.99,38.3,1661,,24.44,15.55,,,,0,1000,0,0,0,0,0,0,0,0,0,0,0,84100,5910,0,3046,0,0,7000,0,, 
